Código,Nome do Produto,Referência,Preço,Quantidade,Variação 1,Variação 2
1272,BICO CORTE FIBER LASER ORIGINAL RAYTOOLS SINGL DOUBL D28M 11,Raytools,"384,00",12,SINGLE,"1,5"
1272,BICO CORTE FIBER LASER ORIGINAL RAYTOOLS SINGL DOUBL D28M 11,Raytools,"256,00",8,SINGLE,2
1272,BICO CORTE FIBER LASER ORIGINAL RAYTOOLS SINGL DOUBL D28M 11,Raytools,"256,00",8,SINGLE,"2,5"
1272,BICO CORTE FIBER LASER ORIGINAL RAYTOOLS SINGL DOUBL D28M 11,Raytools,"512,00",16,DOUBLE,1
1272,BICO CORTE FIBER LASER ORIGINAL RAYTOOLS SINGL DOUBL D28M 11,Raytools,"512,00",16,DOUBLE,"1,5"
1272,BICO CORTE FIBER LASER ORIGINAL RAYTOOLS SINGL DOUBL D28M 11,Raytools,"256,00",8,DOUBLE,"2,5"
1272,BICO CORTE FIBER LASER ORIGINAL RAYTOOLS SINGL DOUBL D28M 11,Raytools,"256,00",8,DOUBLE,"2,0"
1272,BICO CORTE FIBER LASER ORIGINAL RAYTOOLS SINGL DOUBL D28M 11,Raytools,"448,00",14,DOUBLE,"1,2"
1272,BICO CORTE FIBER LASER ORIGINAL RAYTOOLS SINGL DOUBL D28M 11,Raytools,"192,00",6,SINGLE,"1,2"
1272,BICO CORTE FIBER LASER ORIGINAL RAYTOOLS SINGL DOUBL D28M 11,Raytools,"192,00",6,SINGLE,"1,8"
1272,BICO CORTE FIBER LASER ORIGINAL RAYTOOLS SINGL DOUBL D28M 11,Raytools,"192,00",6,DOUBLE,"3,0"
1272,BICO CORTE FIBER LASER ORIGINAL RAYTOOLS SINGL DOUBL D28M 11,Raytools,"192,00",6,SINGLE,"3,0"
320,MANGUEIRA DE SILICONE 12MM,7899765432161,"3.522,71",126,,
28,Tubo laser CO2 100W MARCA SPT,7890001003345,"63.797,32",20,,
226,BOMBA ÁGUA DC CHILLER CW-5000 MODELO P450424D05 24V 10L/MIN,500011,"6.433,49",20,,
288,EXAUSTOR PARA MÁQUINAS DE CORTE A LASER 750W MOD: ML750,7899765432254,"21.527,94",18,,
314,ADITIVO LASER SCRIPTOR PARA GRAVAÇÃO EM METAL PASTA 50G CO2,500002,"3.089,33",19,,
975,ESPELHOS BLACK REFLETOR MOLIBDÊNIO MÁQUINAS CORTE LASER CO2,7899765432247,"5.732,09",51,25MM,
975,ESPELHOS BLACK REFLETOR MOLIBDÊNIO MÁQUINAS CORTE LASER CO2,7899765432247,"2.178,00",10,30MM,
975,ESPELHOS BLACK REFLETOR MOLIBDÊNIO MÁQUINAS CORTE LASER CO2,7899765432247,"685,80",6,20MM,
1173,LENTE DE PROTEÇÃO- 6000W,7899765432150,"2.418,00",39,24.9*15MM,
