Dia,"Nome da campanha","Nome do conjunto de anúncios","Nome do anúncio","Nome da Página","Status de veiculação","Nível de veiculação",Alcance,Impressões,Frequência,"Configuração de atribuição","Tipo de resultado",Resultados,"Valor usado (BRL)","Custo por resultado",Início,Término,"Cliques no link","CPM (custo por 1.000 impressões)","Início dos relatórios","Encerramento dos relatórios"
2026-03-08,"DC - FEVEREIRO/2026 / CBO F2 ABERTO",VV,P1,"Casa & Cia Centro",not_delivering,ad,1,1,1,"Clique de 7 dias, visualização de 1 dia ou visualização com engajamento de 1 dia",,,0,,2026-03-07,Contínuo,,0,2026-03-08,2026-03-08
2026-03-08,"DC - FEVEREIRO/2026 / CBO F2",SEGUIDORES,P1,"Casa & Cia Centro",not_delivering,ad,3,3,1,"Clique de 7 dias, visualização de 1 dia ou visualização com engajamento de 1 dia",,,0.02,,2026-03-07,Contínuo,,6.66666667,2026-03-08,2026-03-08
2026-03-08,"DC - FEVEREIRO/2026 / CBO F2",ENGAJAMENTO,P2,"Casa & Cia Centro",not_delivering,ad,109,120,1.10091743,"Clique de 7 dias, visualização de 1 dia ou visualização com engajamento de 1 dia",,,1.84,,2026-03-07,Contínuo,1,15.33333333,2026-03-08,2026-03-08
2026-03-08,"DC - FEVEREIRO/2026 / CBO F2 ABERTO",SEGUIDORES,VIDEO,"Casa & Cia Centro",not_delivering,ad,228,264,1.15789474,"Clique de 7 dias, visualização de 1 dia ou visualização com engajamento de 1 dia","Leads no site",8,11.73,1.46625,2026-03-07,Contínuo,34,44.43181818,2026-03-08,2026-03-08
2026-03-08,"PM | ABO | ENGAJ | 9 LINKS | 05.03","A3 - SEMELHANTE",C,"Casa & Cia Centro",not_delivering,ad,280,315,1.125,"Clique de 7 dias ou visualização de 1 dia",,,6.64,,2026-03-05,Contínuo,2,21.07936508,2026-03-08,2026-03-08
2026-03-08,"DC - FEVEREIRO/2026 / ABO  - F2",SEGUIDORES,P2,"Casa & Cia Centro",inactive,ad,100,130,1.3,"Clique de 7 dias, visualização de 1 dia ou visualização com engajamento de 1 dia",,,1.93,,2026-03-07,2026-03-14,1,14.84615385,2026-03-08,2026-03-08
2026-03-08,"DC - FEVEREIRO/2026 / CBO F2",ENGAJAMENTO,P1,"Casa & Cia Centro",inactive,ad,9,9,1,"Clique de 7 dias, visualização de 1 dia ou visualização com engajamento de 1 dia",,,0.09,,2026-03-07,Contínuo,,10,2026-03-08,2026-03-08
2026-03-07,"DC - FEVEREIRO/2026 / ABO  - F2",ENGAJAMENTO,P2,"Casa & Cia Centro",not_delivering,ad,434,632,1.4562212,"Clique de 7 dias, visualização de 1 dia ou visualização com engajamento de 1 dia","Leads no site",5,12.24,2.448,2026-03-07,2026-03-14,10,19.36708861,2026-03-07,2026-03-07
2026-03-07,"VISITAS AO PERFIL - 06/03 - HA - 25,00 - FASE 1",ABERTO,A1,"Casa & Cia Centro",not_delivering,ad,144,145,1.00694444,"Clique de 1 dia",,,2.11,,2026-03-06,Contínuo,,14.55172414,2026-03-07,2026-03-07
2026-03-07,"DC - FEVEREIRO/2026 / ABO  - F2",SEGUIDORES,P1,"Casa & Cia Centro",not_delivering,ad,179,274,1.53072626,"Clique de 7 dias, visualização de 1 dia ou visualização com engajamento de 1 dia","Leads no site",6,4.54,0.75666667,2026-03-07,2026-03-14,8,16.56934307,2026-03-07,2026-03-07
2026-03-07,"VISITAS AO PERFIL - 06/03 - HA - 25,00 - FASE 1",ABERTO,A1,"Casa & Cia Centro",not_delivering,ad,1718,1777,1.03434226,"Clique de 1 dia","Visitas ao perfil do Instagram",24,7.68,0.32,2026-03-06,Contínuo,25,4.32189083,2026-03-07,2026-03-07
2026-03-07,"DC - FEVEREIRO/2026 / CBO F2 ABERTO",SEGUIDORES,P1,"Casa & Cia Centro",not_delivering,ad,18,19,1.05555556,"Clique de 7 dias, visualização de 1 dia ou visualização com engajamento de 1 dia",,,0.12,,2026-03-07,Contínuo,,6.31578947,2026-03-07,2026-03-07
2026-03-07,"DC - FEVEREIRO/2026 / ABO  - F2",VISITAS,P2,"Casa & Cia Centro",not_delivering,ad,276,465,1.68478261,"Clique de 7 dias, visualização de 1 dia ou visualização com engajamento de 1 dia",,,12.33,,2026-03-07,2026-03-14,3,26.51612903,2026-03-07,2026-03-07
