Performance da campanha
1 de janeiro de 2026 - 6 de julho de 2026
Dia,Campanha,Estado da campanha,Tipo de campanha,Cliques,Impr.,CTR,Código da moeda,CPC méd.,Custo,% de impr. (1ª posição),% de impr. (parte sup.),Conversões,Conv. de visualização,Custo / conv.,Taxa de conv.
2026-02-10,PMAX,Ativada,Performance Max,212,1.553,"13,65%",BRL,"0,18","38,75",0,0,"84,99",0,"0,46","19,90%"
2026-05-02,PMAX,Ativada,Performance Max,210,24.325,"0,86%",BRL,"1,27","267,43",0,0,"12,66",0,"21,12","5,92%"
2026-02-05,PMAX,Ativada,Performance Max,205,909,"22,55%",BRL,"0,23","46,97",0,0,"74,00",0,"0,63","13,99%"
2026-03-14,PMAX,Ativada,Performance Max,204,3.979,"5,13%",BRL,"0,61","124,53",0,0,"64,00",0,"1,95","16,71%"
2026-03-20,PMAX,Ativada,Performance Max,203,4.708,"4,31%",BRL,"0,58","116,77",0,0,"17,78",0,"6,57","3,87%"
2026-02-09,PMAX,Ativada,Performance Max,201,886,"22,69%",BRL,"0,25","49,76",0,0,"110,00",0,"0,45","25,23%"
2026-04-01,PMAX,Ativada,Performance Max,192,3.245,"5,92%",BRL,"0,39","74,23",0,0,"27,00",0,"2,75","4,19%"
2026-05-30,PMAX,Ativada,Performance Max,185,4.555,"4,06%",BRL,"1,36","251,20",0,0,"26,00",0,"9,66","3,71%"
2026-06-07,PMAX,Ativada,Performance Max,185,4.303,"4,30%",BRL,"1,51","279,94",0,0,"11,00",0,"25,45","5,73%"
2026-05-22,PMAX,Ativada,Performance Max,170,3.343,"5,09%",BRL,"0,43","73,39",0,0,"31,00",0,"2,37","17,82%"
2026-05-17,PMAX,Ativada,Performance Max,156,2.825,"5,52%",BRL,"0,89","139,49",0,0,"4,00",0,"34,87","0,91%"
2026-05-07,PMAX,Ativada,Performance Max,148,3.823,"3,87%",BRL,"0,89","131,98",0,0,"14,98",0,"8,81","2,39%"
2026-05-09,PMAX,Ativada,Performance Max,143,3.729,"3,83%",BRL,"0,73","103,93",0,0,"5,00",0,"20,79","1,06%"
2026-06-07,Branding - SP,Ativada,Pesquisa,140,5.246,"2,67%",BRL,"0,50","70,39","23,15%","77,78%","745,68",0,"0,09","532,63%"
2026-06-08,PMAX,Ativada,Performance Max,140,2.513,"5,57%",BRL,"0,56","78,29",0,0,"16,00",0,"4,89","11,35%"
2026-06-10,PMAX,Ativada,Performance Max,136,2.708,"5,02%",BRL,"1,08","147,33",0,0,"4,00",0,"36,83","1,66%"
2026-05-12,Branding - SP,Ativada,Pesquisa,130,6.968,"1,87%",BRL,"0,58","75,55","18,13%","64,27%","637,00",0,"0,12","490,00%"
2026-06-04,PMAX,Ativada,Performance Max,128,2.215,"5,78%",BRL,"1,06","135,78",0,0,"58,00",0,"2,34","44,96%"
2026-05-13,Branding - SP,Ativada,Pesquisa,127,6.147,"2,07%",BRL,"0,79","100,00","20,33%","66,36%","605,02",0,"0,17","476,39%"
2026-05-14,Branding - SP,Ativada,Pesquisa,120,6.299,"1,91%",BRL,"0,81","97,54","20,00%","65,21%","518,27",0,"0,19","431,89%"
2026-04-28,Branding - SP,Ativada,Pesquisa,119,5.103,"2,33%",BRL,"0,28","33,45","11,54%","74,36%","406,07",0,"0,08","341,24%"
